Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		15.0		17.5		15.0		17.5		20.0		17.0
  B		62.5		70.0		65.0		70.0		57.49999999999999		65.0
  C		22.5		20.0		22.5		22.5		27.500000000000004		23.0
  D		85.0		82.5		90.0		85.0		90.0		86.5
  E		27.500000000000004		25.0		25.0		22.5		35.0		27.0
  F		25.0		25.0		22.5		30.0		30.0		26.5
  G		45.0		42.5		42.5		40.0		47.5		43.5
  H		37.5		40.0		40.0		40.0		37.5		39.0
  I		35.0		30.0		30.0		35.0		30.0		32.0
  J		40.0		40.0		35.0		45.0		40.0		40.0
  K		35.0		35.0		35.0		37.5		30.0		34.5
  L		17.5		12.5		12.5		17.5		25.0		17.0
  M		37.5		37.5		45.0		45.0		37.5		40.5
  N		42.5		45.0		42.5		47.5		37.5		43.0
  O		67.5		55.00000000000001		70.0		70.0		50.0		62.5
  P		40.0		47.5		47.5		47.5		42.5		45.0
  Q		52.5		50.0		57.49999999999999		55.00000000000001		60.0		55.0
  R		40.0		40.0		45.0		42.5		50.0		43.5
  S		25.0		15.0		27.500000000000004		27.500000000000004		20.0		23.0
  T		27.500000000000004		20.0		12.5		20.0		17.5		19.5
  U		72.5		82.5		77.5		75.0		50.0		71.5
  V		70.0		75.0		72.5		75.0		75.0		73.5
  W		50.0		52.5		50.0		52.5		40.0		49.0
  X		40.0		40.0		32.5		40.0		37.5		38.0
  Y		27.500000000000004		40.0		25.0		40.0		25.0		31.5
  Z		15.0		12.5		17.5		20.0		27.500000000000004		18.5
MEDIA	40.57692307692308	40.48076923076923	40.67307692307692	43.07692307692308	40.0	40.96153846153847

