Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		12.5		15.0		7.5		12.5		12.5		12.0
  B		27.500000000000004		32.5		20.0		30.0		32.5		28.5
  C		12.5		10.0		10.0		10.0		15.0		11.5
  D		55.00000000000001		52.5		57.49999999999999		57.49999999999999		40.0		52.5
  E		20.0		20.0		10.0		10.0		22.5		16.5
  F		15.0		15.0		12.5		2.5		22.5		13.5
  G		30.0		20.0		17.5		15.0		20.0		20.5
  H		17.5		12.5		22.5		17.5		25.0		19.0
  I		15.0		12.5		15.0		15.0		20.0		15.5
  J		22.5		12.5		17.5		15.0		17.5		17.0
  K		22.5		22.5		17.5		15.0		22.5		20.0
  L		7.5		7.5		10.0		5.0		7.5		7.5
  M		22.5		10.0		15.0		20.0		12.5		16.0
  N		30.0		25.0		20.0		22.5		30.0		25.5
  O		42.5		32.5		40.0		45.0		27.500000000000004		37.5
  P		17.5		20.0		20.0		10.0		17.5		17.0
  Q		30.0		32.5		40.0		37.5		35.0		35.0
  R		15.0		17.5		12.5		15.0		15.0		15.0
  S		15.0		12.5		15.0		20.0		22.5		17.0
  T		12.5		10.0		10.0		7.5		7.5		9.5
  U		42.5		32.5		32.5		40.0		42.5		38.0
  V		30.0		32.5		27.500000000000004		37.5		15.0		28.5
  W		27.500000000000004		35.0		27.500000000000004		37.5		27.500000000000004		31.0
  X		17.5		20.0		20.0		12.5		17.5		17.5
  Y		27.500000000000004		17.5		22.5		25.0		17.5		22.0
  Z		7.5		7.5		7.5		5.0		12.5		8.0
MEDIA	22.884615384615383	20.673076923076923	20.28846153846154	20.76923076923077	21.442307692307693	21.21153846153846

