Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		95.0		90.0		92.5		102.49999999999999		95.0
  B		72.5		77.5		67.5		77.5		82.5		75.5
  C		97.5		97.5		97.5		97.5		107.5		99.5
  D		72.5		82.5		85.0		80.0		87.5		81.5
  E		82.5		80.0		80.0		80.0		82.5		81.0
  F		92.5		87.5		85.0		92.5		97.5		91.0
  G		65.0		72.5		70.0		65.0		80.0		70.5
  H		92.5		97.5		97.5		95.0		107.5		98.0
  I		85.0		92.5		90.0		90.0		87.5		89.0
  J		87.5		90.0		75.0		90.0		95.0		87.5
  K		90.0		95.0		95.0		87.5		90.0		91.5
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		85.0		90.0		82.5		80.0		92.5		86.0
  N		90.0		87.5		92.5		90.0		102.49999999999999		92.5
  O		92.5		90.0		85.0		90.0		92.5		90.0
  P		92.5		95.0		92.5		90.0		97.5		93.5
  Q		77.5		75.0		67.5		67.5		80.0		73.5
  R		90.0		87.5		92.5		85.0		85.0		88.0
  S		95.0		92.5		97.5		97.5		95.0		95.5
  T		90.0		95.0		90.0		97.5		97.5		94.0
  U		87.5		95.0		90.0		87.5		100.0		92.0
  V		90.0		90.0		85.0		92.5		92.5		90.0
  W		90.0		80.0		80.0		90.0		90.0		86.0
  X		87.5		92.5		90.0		90.0		95.0		91.0
  Y		87.5		82.5		87.5		75.0		92.5		85.0
  Z		95.0		97.5		97.5		97.5		105.0		98.5
MEDIA	87.6923076923077	89.03846153846153	86.92307692307692	87.5	93.65384615384616	88.96153846153845

