Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		17.5		10.0		10.0		12.5		12.5		12.5
  B		40.0		20.0		27.5		20.0		40.0		29.5
  C		20.0		17.5		17.5		22.5		27.5		21.0
  D		45.0		37.5		30.0		25.0		32.5		34.0
  E		17.5		15.0		12.5		7.5		15.0		13.5
  F		15.0		17.5		12.5		17.5		25.0		17.5
  G		22.5		17.5		15.0		17.5		30.0		20.5
  H		17.5		20.0		10.0		17.5		25.0		18.0
  I		20.0		22.5		25.0		32.5		27.5		25.5
  J		22.5		12.5		17.5		10.0		22.5		17.0
  K		15.0		12.5		12.5		17.5		12.5		14.0
  L		7.5		2.5		5.0		2.5		5.0		4.5
  M		25.0		15.0		25.0		20.0		22.5		21.5
  N		22.5		20.0		12.5		15.0		17.5		17.5
  O		32.5		32.5		35.0		42.5		42.5		37.0
  P		30.0		17.5		12.5		15.0		17.5		18.5
  Q		35.0		20.0		22.5		27.5		42.5		29.5
  R		27.5		25.0		10.0		12.5		32.5		21.5
  S		12.5		15.0		5.0		5.0		15.0		10.5
  T		25.0		12.5		25.0		22.5		27.5		22.5
  U		40.0		27.5		40.0		32.5		25.0		33.0
  V		37.5		25.0		22.5		22.5		37.5		29.0
  W		22.5		15.0		17.5		15.0		22.5		18.5
  X		32.5		12.5		10.0		27.5		37.5		24.0
  Y		27.5		17.5		25.0		12.5		22.5		21.0
  Z		12.5		5.0		10.0		5.0		10.0		8.5
MEDIA	24.71153846153846	17.884615384615383	17.98076923076923	18.365384615384617	24.903846153846153	20.769

