Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 	Test 0:	Test 1:	Test 2	Test 3	Test 4	MEDIA
  A		50.0		52.5		52.5		50.0		42.5		49.5
  B		125.0		117.5		117.5		125.0		90.0		115.0
  C		55.0		50.0		52.5		50.0		40.0		49.5
  D		117.5		125.0		127.5		130.0		92.5		118.5
  E		65.0		62.5		70.0		67.5		65.0		66.0
  F		47.5		42.5		60.0		57.5		52.5		52.0
  G		95.0		92.5		87.5		97.5		77.5		90.0
  H		45.0		55.0		55.0		50.0		47.5		50.5
  I		92.5		80.0		95.0		100.0		97.5		93.0
  J		80.0		80.0		82.5		72.5		67.5		76.5
  K		55.0		62.5		60.0		65.0		67.5		62.0
  L		32.5		32.5		32.5		32.5		30.0		32.0
  M		62.5		60.0		57.5		50.0		57.5		57.5
  N		60.0		60.0		57.5		55.0		70.0		60.5
  O		125.0		137.5		142.5		140.0		107.5		130.5
  P		55.0		60.0		62.5		65.0		40.0		56.5
  Q		112.5		107.5		107.5		117.5		105.0		110.0
  R		67.5		60.0		72.5		75.0		75.0		70.0
  S		37.5		37.5		42.5		20.0		45.0		36.5
  T		47.5		40.0		55.0		52.5		50.0		49.0
  U		100.0		87.5		102.5		95.0		85.0		94.0
  V		85.0		82.5		92.5		90.0		87.5		87.5
  W		70.0		72.5		67.5		75.0		52.5		67.5
  X		65.0		52.5		62.5		50.0		45.0		55.0
  Y		65.0		65.0		65.0		57.5		50.0		60.5
  Z		37.5		20.0		37.5		35.0		30.0		32.0
MEDIA	71.15384615384616	69.03846153846153	73.75	72.11538461538461	64.23076923076923	70.058

