Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		97.5		95.0		90.0		90.0		102.50		95.0
  B		67.5		75.0		62.5		80.0		85.0		74.0
  C		100.0		100.0		97.5		100.0		100.0		99.5
  D		67.5		87.5		80.0		80.0		87.5		80.5
  E		80.0		77.5		82.5		80.0		90.0		82.0
  F		92.5		82.5		87.5		95.0		92.5		90.0
  G		65.0		77.5		77.5		65.0		75.0		72.0
  H		95.0		100.0		97.5		97.5		100.0		98.0
  I		85.0		87.5		87.5		90.0		92.5		88.5
  J		90.0		90.0		85.0		87.5		92.5		89.0
  K		92.5		95.0		95.0		87.5		92.5		92.5
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		85.0		92.5		87.5		82.5		92.5		88.0
  N		87.5		90.0		92.5		92.5		97.5		92.0
  O		95.0		90.0		92.5		90.0		82.5		90.0
  P		95.0		95.0		92.5		95.0		92.5		94.0
  Q		75.0		77.5		72.5		62.5		82.5		74.0
  R		82.5		85.0		87.5		85.0		90.0		86.0
  S		92.5		95.0		92.5		95.0		100.0		95.0
  T		90.0		95.0		87.5		97.5		95.0		93.0
  U		90.0		95.0		90.0		90.0		97.5		92.5
  V		85.0		87.5		87.5		90.0		97.5		89.5
  W		87.5		77.5		85.0		90.0		90.0		86.0
  X		90.0		90.0		92.5		90.0		95.0		91.5
  Y		80.0		87.5		82.5		77.5		95.0		84.5
  Z		95.0		100.0		100.0		97.5		100.0		98.5
MEDIA	86.92307692307692	89.32692307692308	87.78846153846153	87.88461538461539	92.88461538461539	444.80769230769226

