Se ha utilizado el Knn con una K de: 7Los resultados obtenidos han sido: 
 Letra 	Test 0:	Test 1:	Test 2	Test 3	Test 4	MEDIA
  A	 100.0	 95.0	 90.0	 95.0	 100.0	 96.0
  B	 75.0	 77.5	 60.0	 80.0	 80.0	 74.5
  C	 100.0	 97.5	 97.5	 100.0	 97.5	 98.5
  D	 72.5	 85.0	 80.0	 75.0	 90.0	 80.5
  E	 80.0	 75.0	 82.5	 87.5	 85.0	 82.0
  F	 92.5	 82.5	 92.5	 95.0	 92.5	 91.0
  G	 70.0	 85.0	 72.5	 65.0	 65.0	 71.5
  H	 92.5	 100.0	 97.5	 97.5	 100.0	 97.5
  I	 87.5	 92.5	 92.5	 87.5	 90.0	 90.0
  J	 92.5	 95.0	 70.0	 90.0	 82.5	 86.0
  K	 90.0	 92.5	 92.5	 95.0	 85.0	 91.0
  L	 95.0	 92.5	 100.0	 100.0	 100.0	 97.5
  M	 82.5	 95.0	 87.5	 77.5	 80.0	 84.5
  N	 87.5	 92.5	 97.5	 90.0	 95.0	 92.5
  O	 90.0	 92.5	 92.5	 87.5	 80.0	 88.5
  P	 95.0	 95.0	 95.0	 95.0	 85.0	 93.0
  Q	 72.5	 75.0	 75.0	 62.5	 77.5	 72.5
  R	 80.0	 90.0	 85.0	 85.0	 85.0	 85.0
  S	 95.0	 92.5	 95.0	 97.5	 97.5	 95.5
  T	 92.5	 92.5	 90.0	 100.0	 97.5	 94.5
  U	 92.5	 100.0	 87.5	 92.5	 95.0	 93.5
  V	 87.5	 92.5	 92.5	 90.0	 95.0	 91.5
  W	 90.0	 75.0	 80.0	 97.5	 90.0	 86.5
  X	 87.5	 87.5	 87.5	 92.5	 95.0	 90.0
  Y	 90.0	 97.5	 87.5	 77.5	 92.5	 89.0
  Z	 95.0	 100.0	 95.0	 97.5	 100.0	 97.5
MEDIA	 87.88461538461539	 90.28846153846153	 87.5	 88.84615384615384	 89.71153846153847	88.846

