Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2:		Test 3:		Test 4:		MEDIA
  A		5.0		2.5		5.0		7.5		10.0		6.0
  B		25.0		17.5		17.5		10.0		20.0		18.0
  C		12.5		12.5		12.5		12.5		12.5		12.5
  D		22.5		25.0		10.0		17.5		20.0		19.0
  E		15.0		7.5		0.0		10.0		5.0		7.5
  F		15.0		7.5		5.0		10.0		10.0		9.5
  G		17.5		15.0		7.5		5.0		27.5		14.5
  H		10.0		7.5		2.5		2.5		22.5		9.0
  I		22.5		15.0		20.0		10.0		27.5		19.0
  J		12.5		12.5		2.5		7.5		7.5		8.5
  K		17.5		2.5		5.0		10.0		25.0		12.0
  L		7.5		5.0		2.5		2.5		2.5		4.0
  M		15.0		10.0		10.0		2.5		12.5		10.0
  N		12.5		17.5		5.0		7.5		15.0		11.5
  O		22.5		17.5		15.0		20.0		32.5		21.5
  P		7.5		2.5		7.5		5.0		10.0		6.5
  Q		17.5		7.5		7.5		10.0		17.5		12.0
  R		12.5		12.5		10.0		2.5		17.5		11.0
  S		10.0		10.0		5.0		2.5		2.5		6.0
  T		15.0		10.0		7.5		12.5		5.0		10.0
  U		30.0		17.5		17.5		17.5		32.5		23.0
  V		10.0		7.5		15.0		7.5		12.5		10.5
  W		12.5		5.0		7.5		0.0		15.0		8.0
  X		10.0		7.5		10.0		5.0		12.5		9.0
  Y		20.0		12.5		7.5		7.5		12.5		12.0
  Z		7.5		7.5		5.0		5.0		5.0		6.0
MEDIA	14.807692307692308	10.576923076923077	8.461538461538462	8.076923076923077	15.096153846153847	11.404

