Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 	Test 0:	Test 1:	Test 2	Test 3	Test 4	MEDIA
  A		15.0		12.5		10.0		5.0		10.0		10.5
  B		30.0		30.0		25.0		22.5		20.0		25.5
  C		17.5		12.5		7.5		7.5		2.5		9.5
  D		35.0		20.0		15.0		15.0		17.5		20.5
  E		22.5		15.0		10.0		15.0		20.0		16.5
  F		12.5		5.0		5.0		12.5		22.5		11.5
  G		20.0		12.5		17.5		15.0		40.0		21.0
  H		17.5		7.5		5.0		0.0		15.0		9.0
  I		30.0		20.0		22.5		17.5		30.0		24.0
  J		7.5		15.0		10.0		15.0		15.0		12.5
  K		12.5		15.0		12.5		7.5		15.0		12.5
  L		7.5		5.0		0.0		2.5		7.5		4.5
  M		15.0		15.0		2.5		7.5		10.0		10.0
  N		10.0		10.0		10.0		12.5		7.5		10.0
  O		35.0		5.0		10.0		15.0		5.0		14.0
  P		10.0		10.0		12.5		10.0		7.5		10.0
  Q		25.0		17.5		7.5		12.5		22.5		17.0
  R		15.0		17.5		7.5		7.5		15.0		12.5
  S		10.0		2.5		5.0		5.0		7.5		6.0
  T		12.5		5.0		7.5		5.0		7.5		7.5
  U		17.5		20.0		22.5		10.0		25.0		19.0
  V		20.0		17.5		12.5		7.5		15.0		14.5
  W		17.5		15.0		12.5		10.0		12.5		13.5
  X		25.0		15.0		20.0		10.0		22.5		18.5
  Y		17.5		17.5		7.5		2.5		5.0		10.0
  Z		10.0		10.0		5.0		2.5		7.5		7.0
MEDIA	17.98076923076923	13.365384615384615	10.865384615384615	9.711538461538462	14.807692307692308	13.346

