Se ha utilizado el Knn con una K de: 2Los resultados obtenidos han sido: 
 Letra 	Test 0:	Test 1:	Test 2	Test 3	Test 4	MEDIA
  A	 100.0	 95.0	 90.0	 92.5	 100.0	 95.5
  B	 77.5	 87.5	 62.5	 77.5	 85.0	 78.0
  C	 100.0	 97.5	 97.5	 100.0	 100.0	 99.0
  D	 77.5	 87.5	 80.0	 77.5	 90.0	 82.5
  E	 82.5	 82.5	 80.0	 87.5	 85.0	 83.5
  F	 90.0	 85.0	 90.0	 90.0	 97.5	 90.5
  G	 67.5	 85.0	 77.5	 75.0	 75.0	 76.0
  H	 92.5	 95.0	 90.0	 95.0	 100.0	 94.5
  I	 85.0	 92.5	 92.5	 87.5	 87.5	 89.0
  J	 95.0	 95.0	 75.0	 92.5	 87.5	 89.0
  K	 85.0	 92.5	 92.5	 95.0	 85.0	 90.0
  L	 97.5	 92.5	 100.0	 100.0	 100.0	 98.0
  M	 90.0	 95.0	 90.0	 87.5	 85.0	 89.5
  N	 87.5	 97.5	 97.5	 90.0	 95.0	 93.5
  O	 92.5	 85.0	 92.5	 80.0	 82.5	 86.5
  P	 97.5	 92.5	 87.5	 92.5	 87.5	 91.5
  Q	 75.0	 80.0	 75.0	 62.5	 77.5	 74.0
  R	 80.0	 85.0	 87.5	 92.5	 87.5	 86.5
  S	 95.0	 87.5	 97.5	 95.0	 97.5	 94.5
  T	 87.5	 92.5	 90.0	 97.5	 97.5	 93.0
  U	 92.5	 97.5	 85.0	 85.0	 92.5	 90.5
  V	 87.5	 90.0	 87.5	 87.5	 92.5	 89.0
  W	 90.0	 80.0	 85.0	 95.0	 87.5	 87.5
  X	 90.0	 90.0	 95.0	 95.0	 95.0	 93.0
  Y	 87.5	 92.5	 82.5	 70.0	 95.0	 85.5
  Z	 95.0	 97.5	 100.0	 97.5	 100.0	 98.0
MEDIA	 88.36538461538461	 90.38461538461539	 87.6923076923077	 88.36538461538461	 90.96153846153847	89.15

